CUMARTESI					
Zaman	Aydınlatma	Saç kurutucu	Buz Dolabı	Su Isıtıcı 	Tost Makinesi	Kahve Makinesi	Fırın	Çamaşır Makinesi	Bulaşik Makinesi	Çamaşır Kurutma Makinesi	Elektrik Süpürgesi	Ütü	Modem	Televizyon	Klima	Toplam	Ölçekli
1	0	0	41,66666667	0	0	0	0	0	0	0	0	0	7	0	1500	1548,666667	1,548666667
2	0	0	41,66666667	0	0	0	0	0	0	0	0	0	7	0	1500	1548,666667	1,548666667
3	0	0	41,66666667	0	0	0	0	0	0	0	0	0	7	0	1500	1548,666667	1,548666667
4	0	0	41,66666667	0	0	0	0	0	0	0	0	0	7	0	0	48,66666667	0,048666667
5	0	0	41,66666667	0	0	0	0	0	0	0	0	0	7	0	0	48,66666667	0,048666667
6	120	375	41,66666667	0	0	0	0	0	0	0	0	0	7	0	0	543,6666667	0,543666667
7	0	0	41,66666667	500	212,5	250	0	0	0	0	0	0	7	150	0	1161,166667	1,161166667
8	0	0	41,66666667	0	0	0	0	0	0	0	0	0	7	0	0	48,66666667	0,048666667
9	0	0	41,66666667	0	0	0	0	0	0	0	0	0	7	0	0	48,66666667	0,048666667
10	0	0	41,66666667	0	0	0	0	0	0	0	0	0	7	0	0	48,66666667	0,048666667
11	0	0	41,66666667	0	0	0	0	0	0	0	0	0	7	0	0	48,66666667	0,048666667
12	0	0	41,66666667	0	0	0	0	0	0	0	0	0	7	0	0	48,66666667	0,048666667
13	0	0	41,66666667	0	0	0	0	0	0	0	0	0	7	0	0	48,66666667	0,048666667
14	0	0	41,66666667	0	0	0	0	0	0	0	0	0	7	0	0	48,66666667	0,048666667
15	0	0	41,66666667	0	0	0	0	0	0	0	0	0	7	0	0	48,66666667	0,048666667
16	0	0	41,66666667	0	0	0	0	0	0	0	0	0	7	0	1500	1548,666667	1,548666667
17	120	0	41,66666667	0	0	0	1200	0	0	0	0	0	7	150	1500	3018,666667	3,018666667
18	120	0	41,66666667	0	0	0	0	800	0	0	0	0	7	150	1500	2618,666667	2,618666667
19	120	0	41,66666667	0	0	0	0	0	0	0	0	0	7	150	1500	1818,666667	1,818666667
20	120	0	41,66666667	0	0	0	0	0	0	3000	0	0	7	150	1500	4818,666667	4,818666667
21	120	0	41,66666667	0	0	0	0	0	0	0	0	900	7	150	1500	2718,666667	2,718666667
22	120	0	41,66666667	0	0	0	0	0	0	0	0	0	7	150	1500	1818,666667	1,818666667
23	120	0	41,66666667	0	0	0	0	0	0	0	0	0	7	150	1500	1818,666667	1,818666667
24	0	0	41,66666667	0	0	0	0	0	0	0	0	0	7	0	1500	1548,666667	1,548666667
